loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
0.0545023696682464,0.0421052631578947,0.0,0.032258064516129,0.0298939247830279,0.0180521458420441,0.0846153846153846,0.0755347062097479,0.1108008716970852,0.0013635988192045,0.0175131348511383,0.0013635663105263,0.0125,0.0,0.0365853658536585,0.0,0.1971830985915492,0.0477707006369426,0.0341269841269841,0.0233415233415233,0.0496894409937888,False
0.0450236966824644,0.031578947368421,0.1034482758620689,0.0161290322580645,0.0221793635486981,0.0125838867385957,0.0461538461538461,0.1272163473006281,0.0458662489784799,0.00160092166998,0.0122591943957968,0.001600926305739,0.0,0.0,0.0182926829268292,0.0,0.2112676056338028,0.0254777070063694,0.0238095238095238,0.0196560196560196,0.0372670807453416,False
0.0545023696682464,0.0526315789473684,0.1724137931034483,0.0161290322580645,0.0342333654773384,0.020212820626619,0.0461538461538461,0.1377912061699928,0.0679991827839825,0.0027857204356226,0.021015761821366,0.002785720422688,0.0,0.0,0.0182926829268292,0.0,0.2112676056338028,0.0382165605095541,0.0357142857142857,0.0319410319410319,0.062111801242236,False
0.0545023696682464,0.0526315789473684,0.1724137931034483,0.0161290322580645,0.0342333654773384,0.020212820626619,0.0461538461538461,0.1377912061699928,0.0679991827839825,0.0027857204356226,0.021015761821366,0.002785720422688,0.0,0.0,0.0182926829268292,0.0,0.2112676056338028,0.0382165605095541,0.0357142857142857,0.0319410319410319,0.062111801242236,False
0.0142180094786729,0.0,0.0,0.0,0.0048216007714561,0.0020362899929223,0.3846153846153846,0.0159020434125785,0.05935031326614,3.238162391039422e-05,0.0017513134851138,3.23444782208832e-05,0.0,0.0,0.0060975609756097,0.0,0.0422535211267605,0.0159235668789808,0.0039682539682539,0.0061425061425061,0.0,False
0.0568720379146919,0.0421052631578947,0.1379310344827586,0.064516129032258,0.0511089681774349,0.0320498146491414,0.0538461538461538,0.1133020593146219,0.1311291201307545,0.0036313804271879,0.031523642732049,0.0036313571943647,0.15,0.0471976401179941,0.0792682926829268,0.0,0.1971830985915492,0.0636942675159235,0.0539682539682539,0.0466830466830466,0.0496894409937888,False
0.0781990521327014,0.0421052631578947,0.1379310344827586,0.0,0.0742526518804242,0.0499962626165888,0.0384615384615384,0.165063210622565,0.1404249523290656,0.0082523830268045,0.0507880910683012,0.0082523551293327,0.1375,0.0825958702064896,0.0975609756097561,0.0,0.2535211267605634,0.0859872611464968,0.0753968253968254,0.0724815724815724,0.0496894409937888,False
0.0213270142180094,0.0105263157894736,0.0,0.0,0.0163934426229508,0.0083542198562508,0.0846153846153846,0.0715591953566033,0.0541405611549986,0.0005978342395444,0.0087565674255691,0.0005978295935761,0.025,0.0117994100294985,0.024390243902439,0.0,0.1126760563380281,0.0254777070063694,0.0142857142857142,0.0196560196560196,0.0124223602484472,False
0.0521327014218009,0.0631578947368421,0.1379310344827586,0.0,0.0501446480231436,0.0277366406062035,0.0307692307692307,0.2164268108451936,0.0594184146009261,0.0060035781462261,0.0280210157618213,0.0060035363296188,0.125,0.0501474926253687,0.1402439024390244,0.0,0.1830985915492957,0.0286624203821656,0.0547619047619047,0.042997542997543,0.0745341614906832,False
0.0284360189573459,0.0105263157894736,0.0,0.0,0.0270009643201542,0.01582723478009,0.0846153846153846,0.0727518486125467,0.1008240261509125,0.0011519528224905,0.0157618213660245,0.0011519481739494,0.075,0.0147492625368731,0.048780487804878,0.0,0.1830985915492957,0.0414012738853503,0.0309523809523809,0.0208845208845208,0.0124223602484472,False
0.0118483412322274,0.0,0.0,0.0,0.0067502410800385,0.0032415961430203,0.1923076923076923,0.031804086825157,0.0472623263415963,0.0001030928012163,0.0035026269702276,0.000103051012006,0.0125,0.0029498525073746,0.0121951219512195,0.0,0.0985915492957746,0.0159235668789808,0.0071428571428571,0.0061425061425061,0.0,False
0.0118483412322274,0.0,0.0,0.0,0.0067502410800385,0.0032415961430203,0.1923076923076923,0.031804086825157,0.0472623263415963,0.0001030928012163,0.0035026269702276,0.000103051012006,0.0125,0.0029498525073746,0.0,0.0,0.0985915492957746,0.0159235668789808,0.0071428571428571,0.0061425061425061,0.0,False
0.0142180094786729,0.0105263157894736,0.0,0.0,0.0125361620057859,0.0061602590006703,0.0615384615384615,0.0954122604754711,0.0299305366385181,0.0005877492256164,0.0070052539404553,0.0005877167205406,0.0,0.0,0.0060975609756097,0.0,0.1267605633802817,0.0159235668789808,0.0111111111111111,0.0147420147420147,0.0124223602484472,False
0.0047393364928909,0.0,0.0,0.0,0.0062680810028929,0.0028281481031611,0.1769230769230769,0.0348254750735469,0.0376940888041405,9.8384604106301e-05,0.0035026269702276,9.837067407229852e-05,0.0,0.0,0.0,0.0,0.0845070422535211,0.0127388535031847,0.0063492063492063,0.0061425061425061,0.0,False
